"YEAR" ,"Departing passengers"
1-Jan-17,1764269
1-Feb-17,1485574
1-Mar-17,1615300
1-Apr-17,1713688
1-May-17,1585709
1-Jun-17,1260111
1-Jul-17,1534678
1-Aug-17,1566872
1-Sep-17,1259347
1-Oct-17,1260378
1-Nov-17,1195292
1-Dec-17,1403274
1-Jan-18,1519886
1-Feb-18,1304393
1-Mar-18,1504962
1-Apr-18,1396324
1-May-18,1210360
1-Jun-18,1397443
1-Jul-18,1771256
1-Aug-18,1684462
1-Sep-18,1335292
1-Oct-18,1336181
1-Nov-18,1276147
1-Dec-18,1497021
1-Jan-19,1555146
1-Feb-19,1414508
1-Mar-19,1582905
1-Apr-19,1711092
1-May-19,1424303
1-Jun-19,1633559
1-Jul-19,1941933
1-Aug-19,1847193
1-Sep-19,1535056
1-Oct-19,1571930
1-Nov-19,1469208
1-Dec-19,1740822
1-Jan-20,1750748
1-Feb-20,1509279
1-Mar-20,887373
1-Apr-20,107276
1-May-20,69409
1-Jun-20,160714
1-Jul-20,276942
1-Aug-20,286029
1-Sep-20,291604
1-Oct-20,323274
1-Nov-20,294401
1-Dec-20,413239
1-Jan-21,419282
1-Feb-21,423443
1-Mar-21,522212
1-Apr-21,483574
1-May-21,485278
1-Jun-21,674545
1-Jul-21,941935
1-Aug-21,940612
1-Sep-21,867332
1-Oct-21,928587
1-Nov-21,930825
1-Dec-21,1156782
1-Jan-22,1028380
1-Feb-22,1078780
1-Mar-22,1410794
1-Apr-22,1277942
1-May-22,1387976
1-Jun-22,1638694
1-Jul-22,1738764
1-Aug-22,1595767
1-Sep-22,1554641
1-Oct-22,1589068
1-Nov-22,1555440
1-Dec-22,1916866
,
,
,
,
,
,
,
,
,
,
,
,
